Top 10 documents in the rank list
Query: 89 	 Pr: 0.10000 	 Re: 0.71429
Query: 90 	 Pr: 0.18000 	 Re: 0.64286
Query: 91 	 Pr: 0.12000 	 Re: 0.60000
Query: 92 	 Pr: 0.22000 	 Re: 0.78571
Query: 93 	 Pr: 0.04000 	 Re: 1.00000
Query: 94 	 Pr: 0.22000 	 Re: 0.84615
Query: 95 	 Pr: 0.06000 	 Re: 1.00000
Query: 96 	 Pr: 0.20000 	 Re: 0.71429
Query: 97 	 Pr: 0.10000 	 Re: 0.45455
Query: 98 	 Pr: 0.04000 	 Re: 0.33333
Query: 99 	 Pr: 0.08000 	 Re: 0.80000
Query: 100 	 Pr: 0.12000 	 Re: 0.60000
Query: 101 	 Pr: 0.14000 	 Re: 1.00000
Query: 102 	 Pr: 0.08000 	 Re: 0.80000
Query: 103 	 Pr: 0.04000 	 Re: 0.66667
Query: 104 	 Pr: 0.08000 	 Re: 0.66667
Query: 105 	 Pr: 0.10000 	 Re: 0.83333
Query: 106 	 Pr: 0.12000 	 Re: 1.00000
Query: 107 	 Pr: 0.12000 	 Re: 0.75000
Query: 108 	 Pr: 0.16000 	 Re: 1.00000
Query: 109 	 Pr: 0.06000 	 Re: 0.50000
Query: 110 	 Pr: 0.08000 	 Re: 0.80000
Query: 111 	 Pr: 0.16000 	 Re: 1.00000
Query: 112 	 Pr: 0.06000 	 Re: 1.00000
Query: 113 	 Pr: 0.04000 	 Re: 0.40000
Query: 114 	 Pr: 0.06000 	 Re: 0.60000
Query: 115 	 Pr: 0.04000 	 Re: 0.40000
Query: 116 	 Pr: 0.02000 	 Re: 0.16667
Query: 117 	 Pr: 0.04000 	 Re: 0.66667
Query: 118 	 Pr: 0.04000 	 Re: 0.50000
Query: 119 	 Pr: 0.04000 	 Re: 1.00000
Query: 120 	 Pr: 0.18000 	 Re: 0.90000
Query: 121 	 Pr: 0.16000 	 Re: 1.00000
Query: 122 	 Pr: 0.16000 	 Re: 0.80000
Query: 123 	 Pr: 0.06000 	 Re: 1.00000
Query: 124 	 Pr: 0.02000 	 Re: 0.20000
Query: 125 	 Pr: 0.26000 	 Re: 0.72222
Query: 126 	 Pr: 0.08000 	 Re: 0.44444
Query: 127 	 Pr: 0.10000 	 Re: 0.83333
Query: 128 	 Pr: 0.04000 	 Re: 0.66667
Query: 129 	 Pr: 0.10000 	 Re: 0.62500
Query: 130 	 Pr: 0.10000 	 Re: 0.83333
Query: 131 	 Pr: 0.18000 	 Re: 1.00000
Query: 132 	 Pr: 0.30000 	 Re: 0.93750
Query: 133 	 Pr: 0.16000 	 Re: 1.00000
Query: 134 	 Pr: 0.06000 	 Re: 1.00000
Query: 135 	 Pr: 0.18000 	 Re: 1.00000
Query: 136 	 Pr: 0.08000 	 Re: 1.00000
Query: 137 	 Pr: 0.10000 	 Re: 1.00000
Query: 138 	 Pr: 0.06000 	 Re: 1.00000
Query: 139 	 Pr: 0.02000 	 Re: 0.20000
Query: 140 	 Pr: 0.08000 	 Re: 0.57143
Query: 141 	 Pr: 0.10000 	 Re: 0.71429
Query: 142 	 Pr: 0.04000 	 Re: 1.00000
Query: 143 	 Pr: 0.06000 	 Re: 1.00000
Query: 144 	 Pr: 0.14000 	 Re: 1.00000
Query: 145 	 Pr: 0.12000 	 Re: 0.75000
Query: 146 	 Pr: 0.06000 	 Re: 1.00000
Query: 147 	 Pr: 0.16000 	 Re: 0.72727
Query: 148 	 Pr: 0.10000 	 Re: 0.71429
Query: 149 	 Pr: 0.20000 	 Re: 0.83333
